"Dataset S7 Hub (> 1,000 edges) genes of network of LC+ genes",,,,
Gene ID,Number of edges,Arabidopsis orthologue,Symbol,Human readable description
Solyc05g007510,1068,AT1G14790,ATRDRP1,"RDR1, ATRDRP1 | RDR1 (RNA-DEPENDENT RNA POLYMERASE 1); RNA-directed RNA polymerase/ nucleic acid binding | chr1:5094317-5097817 REVERSE"
Solyc03g044470,1068,AT4G37000,NA,"ACD2, ATRCCR | ACD2 (ACCELERATED CELL DEATH 2); red chlorophyll catabolite reductase | chr4:17442627-17443762 FORWARD"
Solyc09g083190,1068,AT5G43750,NDH18,unknown protein | chr5:17580100-17581145 REVERSE
Solyc03g063560,1068,AT5G04140,FD-GOGAT,"GLU1, GLS1, GLUS, FD-GOGAT | GLU1 (GLUTAMATE SYNTHASE 1); glutamate synthase (ferredoxin) | chr5:1130031-1138186 FORWARD"
Solyc03g114850,1068,AT1G69170,NA,squamosa promoter-binding protein-like 6 (SPL6) | chr1:26005626-26007041 FORWARD
Solyc06g074200,1068,AT1G08380,PSAO,PSAO | PSAO (photosystem I subunit O) | chr1:2641004-2641739 REVERSE
Solyc03g112150,1067,AT4G20360,ATRAB8D,"ATRAB8D, ATRABE1B | ATRABE1B (ARABIDOPSIS RAB GTPASE HOMOLOG E1B); GTP binding / GTPase/ translation elongation factor | chr4:10990036-10991466 FORWARD"
Solyc09g092520,1067,AT3G23730,XTH16,"xyloglucan:xyloglucosyl transferase, putative / xyloglucan endotransglycosylase, putative / endo-xyloglucan transferase, putative | chr3:8550222-8551248 FORWARD"
Solyc06g072710,1067,AT1G64860,RPOD1,"SIGA, SIG1, SIG2, SIGB, RPOD1 | SIGA (SIGMA FACTOR A); DNA binding / DNA-directed RNA polymerase/ sigma factor/ transcription factor | chr1:24098497-24100746 FORWARD"
Solyc07g053540,1067,AT1G03870,NA,FLA9 | FLA9 (FASCICLIN-LIKE ARABINOOGALACTAN 9) | chr1:982625-983368 REVERSE
Solyc02g086160,1067,AT5G16150,GLT1,"GLT1, PGLCT | PGLCT (PLASTIDIC GLC TRANSLOCATOR); carbohydrate transmembrane transporter/ sugar:hydrogen symporter | chr5:5272904-5275678 FORWARD"
Solyc11g069470,1066,AT5G60690,IFL,"REV, IFL, IFL1 | REV (REVOLUTA); DNA binding / lipid binding / transcription factor | chr5:24397734-24401933 FORWARD"
Solyc03g005730,1066,AT4G13430,ATLEUC1,"IIL1 | IIL1 (ISOPROPYL MALATE ISOMERASE LARGE SUBUNIT 1); 4 iron, 4 sulfur cluster binding / hydro-lyase/ lyase | chr4:7804194-7807789 REVERSE"
Solyc03g064010,1066,AT3G57830,NA,"leucine-rich repeat transmembrane protein kinase, putative | chr3:21419778-21422320 FORWARD"
Solyc05g007870,1066,AT1G69560,NA,"MYB105, AtMYB105 | MYB105 (myb domain protein 105); DNA binding / transcription factor | chr1:26157755-26158906 FORWARD"
Solyc09g083290,1066,AT4G14550,IAA14,"IAA14, SLR | IAA14 (INDOLE-3-ACETIC ACID INDUCIBLE 14); protein binding / transcription factor/ transcription repressor | chr4:8348521-8349923 REVERSE"
Solyc06g071330,1065,AT5G62890,NA,"permease, putative | chr5:25243723-25247075 FORWARD"
Solyc03g025310,1065,AT5G52440,NA,HCF106 | HCF106; proton motive force dependent protein transmembrane transporter | chr5:21286896-21288613 FORWARD
Solyc10g005180,1065,AT5G44650,NA,unknown protein | chr5:18013396-18015292 FORWARD
Solyc10g047930,1065,AT4G21860,NA,MSRB2 | MSRB2 (methionine sulfoxide reductase B 2); peptide-methionine-(S)-S-oxide reductase | chr4:11600238-11601507 REVERSE
Solyc02g081070,1065,AT4G22130,SRF8,SRF8 | SRF8 (STRUBBELIG-RECEPTOR FAMILY 8); ATP binding / kinase/ protein binding / protein kinase/ protein serine/threonine kinase/ protein tyrosine kinase | chr4:11723733-11727331 FORWARD
Solyc10g008980,1065,AT5G46110,APE2,"APE2, TPT | APE2 (ACCLIMATION OF PHOTOSYNTHESIS TO ENVIRONMENT 2); antiporter/ triose-phosphate transmembrane transporter | chr5:18697606-18700223 FORWARD"
Solyc06g068010,1065,AT3G15690,NA,biotin carboxyl carrier protein of acetyl-CoA carboxylase-related | chr3:5317108-5319435 FORWARD
Solyc08g078010,1065,AT4G17560,NA,ribosomal protein L19 family protein | chr4:9780343-9781752 FORWARD
Solyc03g119150,1065,AT1G18170,NA,immunophilin / FKBP-type peptidyl-prolyl cis-trans isomerase family protein | chr1:6254291-6255507 FORWARD
Solyc03g026340,1064,AT1G12580,PEPKR1,PEPKR1 | PEPKR1 (Phosphoenolpyruvate carboxylase-related kinase 1); ATP binding / kinase/ protein kinase/ protein serine/threonine kinase | chr1:4283635-4285675 FORWARD
Solyc01g006940,1064,AT3G52380,NA,"CP33, PDE322 | CP33; RNA binding | chr3:19421619-19422855 FORWARD"
Solyc06g060270,1064,AT1G21740,NA,unknown protein | chr1:7641580-7645078 FORWARD
Solyc08g069010,1064,AT5G10690,NA,pentatricopeptide (PPR) repeat-containing protein / CBS domain-containing protein | chr5:3374443-3377332 REVERSE
Solyc06g048730,1064,AT2G40490,HEME2,HEME2 | HEME2; uroporphyrinogen decarboxylase | chr2:16912961-16914988 FORWARD
Solyc08g080050,1064,AT4G22890,PGR5-LIKE,PGR5-LIKE A | PGR5-LIKE A | chr4:12007157-12009175 FORWARD
Solyc10g012030,1063,AT4G01290,NA,unknown protein | chr4:538213-543282 REVERSE
Solyc07g064270,1063,AT5G54800,ATGPT1,GPT1 | GPT1; antiporter/ glucose-6-phosphate transmembrane transporter | chr5:22261408-22263562 FORWARD
Solyc03g118130,1063,AT5G51010,NA,rubredoxin family protein | chr5:20744615-20745344 FORWARD
Solyc03g025840,1063,AT4G25570,ACYB-2,ACYB-2 | ACYB-2; carbon-monoxide oxygenase | chr4:13053887-13055518 REVERSE
Solyc02g080980,1063,AT4G04350,EMB2369,EMB2369 | EMB2369 (EMBRYO DEFECTIVE 2369); ATP binding / aminoacyl-tRNA ligase/ leucine-tRNA ligase/ nucleotide binding | chr4:2128129-2133030 FORWARD
Solyc03g006870,1063,AT5G51820,ATPGMP,"PGM, ATPGMP, PGM1, STF1 | PGM (PHOSPHOGLUCOMUTASE); phosphoglucomutase | chr5:21063531-21067933 REVERSE"
Solyc11g010170,1063,AT5G65280,GCL1,GCL1 | GCL1 (GCR2-LIKE 1); catalytic | chr5:26086129-26088069 REVERSE
Solyc06g069730,1063,AT3G47470,CAB4,"LHCA4, CAB4 | LHCA4 (LIGHT-HARVESTING CHLOROPHYLL-PROTEIN COMPLEX I SUBUNIT A4); chlorophyll binding | chr3:17493622-17494773 REVERSE"
Solyc06g049050,1063,AT2G40610,ATEXP8,"ATEXPA8, EXP8, ATEXP8, ATHEXP ALPHA 1.11 | ATEXPA8 (ARABIDOPSIS THALIANA EXPANSIN A8) | chr2:16949121-16950472 REVERSE"
Solyc02g069450,1063,AT1G31330,PSAF,PSAF | PSAF (photosystem I subunit F) | chr1:11215011-11215939 REVERSE
Solyc08g005430,1062,AT3G13960,NA,AtGRF5 | AtGRF5 (GROWTH-REGULATING FACTOR 5); transcription activator | chr3:4608526-4610160 FORWARD
Solyc06g072300,1062,AT1G48410,AGO1,AGO1 | AGO1 (ARGONAUTE 1); endoribonuclease/ miRNA binding / protein binding / siRNA binding | chr1:17886285-17891892 REVERSE
Solyc01g096390,1062,AT2G40030,ATNRPD1B,"NRPD1B, DRD3, ATNRPD1B, DMS5, NRPE1 | NRPD1B; DNA binding / DNA-directed RNA polymerase | chr2:16715089-16723406 FORWARD"
Solyc01g099690,1062,AT1G09130,NA,"ATP-dependent Clp protease proteolytic subunit, putative | chr1:2940063-2942217 REVERSE"
Solyc08g076470,1062,AT1G32200,ACT1,"ATS1, ACT1 | ATS1; glycerol-3-phosphate O-acyltransferase | chr1:11602223-11605001 REVERSE"
Solyc01g095900,1062,AT1G01320,NA,tetratricopeptide repeat (TPR)-containing protein | chr1:121582-130099 REVERSE
Solyc11g010710,1062,AT5G10510,NA,"AIL6, PLT3 | AIL6 (AINTEGUMENTA-LIKE 6); DNA binding / transcription factor | chr5:3316036-3320008 FORWARD"
Solyc09g018890,1062,AT2G04039,NA,unknown protein | chr2:1333464-1334438 FORWARD
Solyc01g096360,1062,AT2G46710,NA,"rac GTPase activating protein, putative | chr2:19192105-19194656 FORWARD"
Solyc04g009370,1062,AT3G19900,NA,unknown protein | chr3:6922852-6924557 REVERSE
Solyc01g091010,1061,AT2G45190,AFO,"AFO, FIL, YAB1 | AFO (ABNORMAL FLORAL ORGANS); protein binding / transcription factor/ transcription regulator | chr2:18628450-18630552 REVERSE"
Solyc09g015080,1061,AT3G51670,NA,SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein | chr3:19168912-19170848 FORWARD
Solyc04g081570,1061,AT4G24190,NA,"SHD, HSP90.7 | SHD (SHEPHERD); ATP binding / unfolded protein binding | chr4:12551902-12555851 REVERSE"
Solyc03g083100,1061,AT3G49260,NA,iqd21 | iqd21 (IQ-domain 21); calmodulin binding | chr3:18262755-18265859 FORWARD
Solyc04g050930,1061,AT1G08550,AVDE1,"NPQ1, AVDE1 | NPQ1 (NON-PHOTOCHEMICAL QUENCHING 1); violaxanthin de-epoxidase | chr1:2707462-2709387 FORWARD"
Solyc06g068230,1061,AT1G15290,NA,binding | chr1:5257327-5264814 REVERSE
Solyc12g044230,1061,AT2G25737,NA,unknown protein | chr2:10977174-10979677 FORWARD
Solyc04g049360,1061,AT2G28880,ADCS,emb1997 | emb1997 (embryo defective 1997); anthranilate synthase/ catalytic/ oxo-acid-lyase | chr2:12398937-12403108 REVERSE
Solyc07g053630,1061,AT2G20570,NA,"GPRI1, GLK1 | GPRI1 (GBF'S PRO-RICH REGION-INTERACTING FACTOR 1); transcription factor/ transcription regulator | chr2:8855486-8857522 FORWARD"
Solyc09g042710,1060,AT2G38370,NA,unknown protein | chr2:16072184-16074168 REVERSE
Solyc03g078390,1060,AT3G49600,ATUBP26,"UBP26, SUP32, ATUBP26 | UBP26 (UBIQUITIN-SPECIFIC PROTEASE 26); ubiquitin thiolesterase/ ubiquitin-specific protease | chr3:18380942-18386662 REVERSE"
Solyc01g095670,1060,AT4G01050,TROL,hydroxyproline-rich glycoprotein family protein | chr4:455874-458175 FORWARD
Solyc11g067080,1060,AT3G44610,NA,protein kinase family protein | chr3:16188266-16192107 REVERSE
Solyc05g009310,1060,AT1G25440,NA,zinc finger (B-box type) family protein | chr1:8933939-8935284 REVERSE
Solyc08g008630,1060,AT1G64680,NA,unknown protein | chr1:24036071-24037062 FORWARD
Solyc11g008480,1060,AT3G05410,NA,calcium ion binding | chr3:1554783-1561456 FORWARD
Solyc03g093690,1060,AT4G25130,PMSR4,"peptide methionine sulfoxide reductase, putative | chr4:12898802-12899998 REVERSE"
Solyc08g008210,1059,AT4G11150,TUF,"VHA-E3 | VHA-E3 (VACUOLAR H+-ATPASE SUBUNIT E ISOFORM 3); proton-transporting ATPase, rotational mechanism | chr1:23828537-23830002 REVERSE"
Solyc01g106480,1059,AT2G22780,PMDH1,"PMDH1 | PMDH1 (PEROXISOMAL NAD-MALATE DEHYDROGENASE 1); L-malate dehydrogenase/ binding / catalytic/ malate dehydrogenase/ oxidoreductase/ oxidoreductase, acting on the CH-OH group of donors, NAD or NADP as acceptor | chr2:9689995-9691923 REVERSE"
Solyc07g062840,1058,AT5G53950,ANAC098,"CUC2, ANAC098 | CUC2 (CUP-SHAPED COTYLEDON 2); transcription factor | chr5:21901966-21903795 REVERSE"
Solyc09g074650,1058,AT3G62910,APG3,"APG3 | APG3 (ALBINO AND PALE GREEN); translation release factor/ translation release factor, codon specific | chr3:23257661-23260386 REVERSE"
Solyc04g081080,1058,AT1G75640,NA,leucine-rich repeat family protein / protein kinase family protein | chr1:28403600-28407022 REVERSE
Solyc05g015840,1058,AT5G50570,NA,"squamosa promoter-binding protein, putative | chr5:20582555-20583791 REVERSE"
Solyc12g095780,1057,AT1G76660,NA,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: hydroxyproline-rich glycoprotein family protein (TAIR:AT5G52430.1); Has 280 Blast hits to 160 proteins in 42 species: Archae - 0; Bacteria - 4; Metazoa - 55; Fungi - 17; Plants - 64; Viruses - 4; Other Eukaryotes - 136 (source: NCBI BLink). | chr1:28769157-28771036 REVERSE
Solyc01g104950,1057,AT5G64570,ATBXL4,"XYL4, ATBXL4 | XYL4; hydrolase, hydrolyzing O-glycosyl compounds / xylan 1,4-beta-xylosidase | chr5:25810227-25813309 REVERSE"
Solyc04g005090,1057,AT1G59840,CCB4,CCB4 | CCB4 (COFACTOR ASSEMBLY OF COMPLEX C) | chr1:22026569-22028174 FORWARD
Solyc12g070280,1057,AT1G70610,ATTAP1,"ATTAP1 | ATTAP1; ATPase, coupled to transmembrane movement of substances / transporter | chr1:26622086-26626331 FORWARD"
Solyc11g010480,1057,AT4G38100,NA,unknown protein | chr4:17887033-17888177 REVERSE
Solyc08g067210,1056,AT3G43920,NA,"DCL3, ATDCL3 | ribonuclease III family protein | chr3:15753548-15760830 FORWARD"
Solyc08g077880,1056,AT4G17600,NA,LIL3:1 | LIL3:1; transcription factor | chr4:9803759-9804714 FORWARD
Solyc01g111990,1056,AT5G22800,EMB1030,"EMB1030 | EMB1030 (EMBRYO DEFECTIVE 1030); ATP binding / alanine-tRNA ligase/ ligase, forming aminoacyl-tRNA and related compounds / nucleic acid binding / nucleotide binding | chr5:7616221-7619961 REVERSE"
Solyc09g005620,1056,AT2G38270,ATGRX2,"CXIP2, ATGRX2 | CXIP2 (CAX-INTERACTING PROTEIN 2); electron carrier/ protein disulfide oxidoreductase | chr2:16031347-16033054 REVERSE"
Solyc06g051200,1056,AT2G43030,NA,ribosomal protein L3 family protein | chr2:17894898-17895713 FORWARD
Solyc07g043160,1055,AT3G21790,NA,UDP-glucoronosyl/UDP-glucosyl transferase family protein | chr3:7676927-7678414 REVERSE
Solyc07g049690,1055,AT4G15440,CYP74B2,"HPL1, CYP74B2 | HPL1 (HYDROPEROXIDE LYASE 1); electron carrier/ heme binding / iron ion binding / monooxygenase | chr4:8835869-8838462 FORWARD"
Solyc08g082630,1055,AT4G23980,ARF9,ARF9 | ARF9 (AUXIN RESPONSE FACTOR 9); transcription factor | chr4:12451592-12454737 FORWARD
Solyc01g110120,1054,AT4G39080,VHA-A3,VHA-A3 | VHA-A3 (VACUOLAR PROTON ATPASE A3); ATPase | chr4:18209513-18214752 FORWARD
Solyc12g008580,1054,AT5G56590,NA,glycosyl hydrolase family 17 protein | chr5:22907521-22909436 FORWARD
Solyc10g044840,1054,AT2G02410,NA,unknown protein | chr2:632713-634613 FORWARD
Solyc07g062310,1054,AT1G53380,NA,unknown protein | chr1:19913341-19914702 REVERSE
Solyc12g095850,1054,AT2G25840,OVA4,OVA4 | OVA4 (ovule abortion 4); ATP binding / aminoacyl-tRNA ligase/ nucleotide binding / tryptophan-tRNA ligase | chr2:11021924-11025158 FORWARD
Solyc03g097250,1054,AT3G02900,NA,unknown protein | chr5:5465699-5467006 REVERSE
Solyc03g005000,1054,AT3G27110,NA,peptidase M48 family protein | chr3:9998006-9999892 FORWARD
Solyc04g079790,1054,AT1G74970,NA,"RPS9, TWN3 | RPS9 (RIBOSOMAL PROTEIN S9); structural constituent of ribosome | chr1:28157761-28159202 REVERSE"
Solyc11g069190,1053,AT5G60450,ARF4,ARF4 | ARF4 (AUXIN RESPONSE FACTOR 4); transcription factor | chr5:24308558-24312187 REVERSE
Solyc07g045170,1053,AT2G04235,NA,unknown protein | chr2:1449414-1455018 FORWARD
Solyc04g025300,1053,AT5G23570,NA,"SGS3, ATSGS3 | SGS3 (SUPPRESSOR OF GENE SILENCING 3) | chr5:7943621-7945874 FORWARD"
Solyc11g017300,1053,AT1G22920,AJH1,"CSN5A, JAB1, AJH1 | CSN5A (COP9 SIGNALOSOME 5A) | chr1:8109882-8111895 REVERSE"
Solyc08g008380,1053,AT4G23980,NA,ARF9 | ARF9 (AUXIN RESPONSE FACTOR 9); transcription factor | chr4:12451592-12454737 FORWARD
Solyc10g006030,1053,AT3G13120,NA,"30S ribosomal protein S10, chloroplast, putative | chr3:4220310-4221526 REVERSE"
Solyc01g008600,1052,AT3G51950,NA,zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein | chr3:19278244-19280407 REVERSE
Solyc04g081200,1052,AT1G19880,NA,regulator of chromosome condensation (RCC1) family protein | chr1:6900648-6903818 REVERSE
Solyc04g071500,1052,AT1G21090,NA,hydroxyproline-rich glycoprotein family protein | chr1:7384854-7386199 FORWARD
Solyc05g008300,1051,NA,NA,No significant hit found
Solyc01g079330,1051,AT2G47330,NA,"DEAD/DEAH box helicase, putative | chr2:19429083-19431617 REVERSE"
Solyc01g068290,1051,AT2G13440,NA,glucose-inhibited division family A protein | chr2:5593270-5598296 REVERSE
Solyc04g049380,1051,AT2G39190,NA,ATATH8 | ATATH8; transporter | chr2:16350140-16355745 FORWARD
Solyc02g071030,1051,AT1G29930,AB140,"CAB1, AB140, CAB140, LHCB1.3 | CAB1 (CHLOROPHYLL A/B BINDING PROTEIN 1); chlorophyll binding | chr1:10478071-10478874 FORWARD"
Solyc12g049560,1050,AT1G53910,NA,RAP2.12 | RAP2.12; DNA binding / transcription factor | chr1:20135242-20136581 FORWARD
Solyc07g008160,1050,AT1G14850,NUP155,NUP155 | NUP155; nucleocytoplasmic transporter | chr1:5116921-5123259 REVERSE
Solyc03g121720,1050,AT1G17650,GLYR2,"GLYR2, GR2 | GLYR2 (GLYOXYLATE REDUCTASE 2); glyoxylate reductase (NADP)/ phosphogluconate dehydrogenase (decarboxylating) | chr1:6069594-6071964 REVERSE"
Solyc09g008040,1050,AT2G36990,ATSIG6,"SIGF, SIG6, ATSIG6, SOLDAT8 | SIGF (RNA POLYMERASE SIGMA-SUBUNIT F); DNA binding / DNA-directed RNA polymerase/ sigma factor/ transcription factor | chr2:15537502-15540016 REVERSE"
Solyc09g007560,1050,AT4G01310,NA,ribosomal protein L5 family protein | chr4:544166-545480 REVERSE
Solyc04g079560,1050,AT1G47670,NA,amino acid transporter family protein | chr1:17536834-17539486 REVERSE
Solyc01g097860,1050,AT1G54520,NA,unknown protein | chr1:20363565-20365874 FORWARD
Solyc04g009820,1049,AT5G28640,NA,"AN3, GIF, GIF1 | AN3 (ANGUSTIFOLIA 3); protein binding / transcription coactivator | chr5:10647831-10649620 REVERSE"
Solyc07g049500,1049,AT2G32940,AGO6,AGO6 | AGO6 (ARGONAUTE 6); nucleic acid binding | chr2:13972218-13976856 REVERSE
Solyc07g049750,1049,AT1G05090,NA,dentin sialophosphoprotein-related | chr1:1463202-1465622 FORWARD
Solyc10g086660,1049,AT5G02010,NA,"ATROPGEF7, ROPGEF7 | ROPGEF7; Rho guanyl-nucleotide exchange factor | chr5:383493-385698 FORWARD"
Solyc12g011010,1049,AT2G42840,NA,PDF1 | PDF1 (PROTODERMAL FACTOR 1) | chr2:17826327-17827426 REVERSE
Solyc07g063600,1049,AT5G54270,LHCB3,"LHCB3, LHCB3*1 | LHCB3 (LIGHT-HARVESTING CHLOROPHYLL B-BINDING PROTEIN 3); structural molecule | chr5:22038424-22039383 FORWARD"
Solyc07g006520,1049,AT2G18710,SCY1,SCY1 | SCY1 (SecY Homolog 1); P-P-bond-hydrolysis-driven protein transmembrane transporter | chr2:8112231-8114452 REVERSE
Solyc01g068470,1049,AT2G38780,NA,unknown protein | chr2:16210864-16214110 FORWARD
Solyc07g041640,1048,AT3G13960,NA,AtGRF5 | AtGRF5 (GROWTH-REGULATING FACTOR 5); transcription activator | chr3:4608526-4610160 FORWARD
Solyc10g079480,1048,AT3G10230,LYC,LYC | LYC (LYCOPENE CYCLASE); lycopene beta cyclase | chr3:3164340-3165845 REVERSE
Solyc01g091780,1048,AT3G61080,NA,fructosamine kinase family protein | chr3:22607152-22608883 FORWARD
Solyc03g110880,1047,AT3G23780,DMS2,"NRPD2A, DRD2, NRPD2, DMS2, NRPE2 | NRPD2A; DNA binding / DNA-directed RNA polymerase | chr3:8567971-8573819 REVERSE"
Solyc08g076090,1047,AT1G32160,NA,unknown protein | chr1:11568701-11570241 FORWARD
Solyc11g066480,1047,AT2G27980,NA,protein binding / zinc ion binding | chr2:11913950-11919741 REVERSE
Solyc11g066110,1047,AT2G28800,ALB3,"ALB3, ABL3 | ALB3 (ALBINO 3); P-P-bond-hydrolysis-driven protein transmembrane transporter | chr2:12356669-12359158 REVERSE"
Solyc02g078040,1047,AT2G34700,NA,pollen Ole e 1 allergen and extensin family protein | chr2:14634298-14635597 REVERSE
Solyc01g087750,1047,AT5G12470,NA,unknown protein | chr5:4044950-4047290 REVERSE
Solyc04g077050,1047,AT5G49630,AAP6,AAP6 | AAP6 (AMINO ACID PERMEASE 6); acidic amino acid transmembrane transporter/ amino acid transmembrane transporter/ neutral amino acid transmembrane transporter | chr5:20142681-20146441 REVERSE
Solyc01g088080,1046,AT3G03960,NA,"chaperonin, putative | chr3:1024432-1027604 FORWARD"
Solyc02g069290,1046,AT3G06880,NA,nucleotide binding | chr3:2170589-2175686 REVERSE
Solyc09g083130,1046,AT4G14570,NA,acylaminoacyl-peptidase-related | chr4:8362586-8366525 FORWARD
Solyc09g065340,1045,AT5G36740,NA,PHD finger family protein | chr5:14460790-14465727 FORWARD
Solyc08g062940,1045,AT2G26180,IQD6,IQD6 | IQD6 (IQ-domain 6); calmodulin binding | chr2:11143433-11144982 REVERSE
Solyc04g076140,1045,AT4G24580,NA,REN1 | REN1 (ROP1 ENHANCER 1); Rho GTPase activator/ Rho GTPase binding / phosphoinositide binding | chr4:12687879-12694248 REVERSE
Solyc06g051810,1045,AT3G48670,IDN2,XH/XS domain-containing protein / XS zinc finger domain-containing protein | chr3:18031240-18033615 FORWARD
Solyc01g107910,1045,AT4G34050,CCoAOMT1,"caffeoyl-CoA 3-O-methyltransferase, putative | chr4:16310844-16311973 FORWARD"
Solyc01g008250,1045,AT1G50320,ATHX,"ATHX, ATX | ATHX; enzyme activator | chr1:18638606-18639464 REVERSE"
Solyc02g069080,1044,AT1G10180,NA,unknown protein | chr1:3338381-3341494 REVERSE
Solyc01g111510,1044,AT4G35000,APX3,APX3 | APX3 (ASCORBATE PEROXIDASE 3); L-ascorbate peroxidase | chr4:16665007-16667541 REVERSE
Solyc00g009100,1044,AT1G71720,NA,S1 RNA-binding domain-containing protein | chr1:26983744-26985893 FORWARD
Solyc09g010500,1043,AT2G04630,NRPB6B,"NRPB6B, NRPE6B | NRPB6B; DNA binding / DNA-directed RNA polymerase | chr2:1619168-1620246 REVERSE"
Solyc01g096240,1043,AT3G61870,NA,unknown protein | chr3:22902702-22903895 FORWARD
Solyc02g086350,1043,AT1G66840,NA,"INVOLVED IN: biological_process unknown; EXPRESSED IN: 17 plant structures; EXPRESSED DURING: 11 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF827, plant (InterPro:IPR008545); BEST Arabidopsis thaliana protein match is: PMI15 (plastid movement impaired 15) (TAIR:AT5G38150.1); Has 66436 Blast hits to 37670 proteins in 1596 species: Archae - 890; Bacteria - 7464; Metazoa - 33216; Fungi - 4897; Plants - 2570; Viruses - 192; Other Eukaryotes - 17207 (source: NCBI BLink). | chr1:24933998-24936116 REVERSE"
Solyc07g005510,1043,AT4G30950,FAD6,"FAD6, FADC, SFD4 | FAD6 (FATTY ACID DESATURASE 6); omega-6 fatty acid desaturase | chr4:15057278-15059673 REVERSE"
Solyc12g089210,1043,AT1G75330,OTC,OTC | OTC (ORNITHINE CARBAMOYLTRANSFERASE); amino acid binding / carboxyl- or carbamoyltransferase/ ornithine carbamoyltransferase | chr1:28266457-28268383 REVERSE
Solyc10g006330,1043,AT1G42550,PMI1,PMI1 | PMI1 (PLASTID MOVEMENT IMPAIRED1) | chr1:15977131-15979734 FORWARD
Solyc02g084750,1042,AT4G36390,NA,radical SAM domain-containing protein / TRAM domain-containing protein | chr4:17194746-17197054 REVERSE
Solyc01g067390,1042,AT3G06400,CHR11,"CHR17 | CHR17 (CHROMATIN REMODELING FACTOR17); ATP binding / DNA binding / DNA-dependent ATPase/ helicase/ hydrolase, acting on acid anhydrides, in phosphorus-containing anhydrides / nucleic acid binding / nucleosome binding | chr5:6196190-6202058 REVERSE"
Solyc07g062660,1042,AT1G06230,NA,GTE4 | GTE4 (GLOBAL TRANSCRIPTION FACTOR GROUP E 4); DNA binding | chr1:1907626-1910183 FORWARD
Solyc05g013160,1042,AT1G14030,NA,"ribulose-1,5 bisphosphate carboxylase oxygenase large subunit N-methyltransferase, putative | chr1:4805493-4807440 REVERSE"
Solyc07g055910,1042,AT3G58770,NA,unknown protein | chr3:21732520-21735183 FORWARD
Solyc11g068890,1042,AT3G44220,NA,harpin-induced family protein / HIN1 family protein / harpin-responsive family protein | chr3:15928216-15929645 FORWARD
Solyc03g117010,1041,AT1G80810,NA,binding | chr1:30365575-30368898 FORWARD
Solyc03g083970,1041,AT5G62390,NA,ATBAG7 | ATBAG7 (ARABIDOPSIS THALIANA BCL-2-ASSOCIATED ATHANOGENE 7); calmodulin binding | chr5:25052377-25054170 REVERSE
Solyc05g008140,1041,NA,NA,No significant hit found
Solyc09g090270,1041,AT5G43310,NA,COP1-interacting protein-related | chr5:17379735-17385387 REVERSE
Solyc04g082630,1041,AT1G42970,GAPB,GAPB | GAPB (GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE B SUBUNIT); glyceraldehyde-3-phosphate dehydrogenase (NADP+)/ glyceraldehyde-3-phosphate dehydrogenase | chr1:16127552-16129584 FORWARD
Solyc12g044410,1040,AT1G52150,ATHB-15,"ATHB-15, ATHB15, CNA, ICU4 | ATHB-15; DNA binding / transcription factor | chr1:19409913-19413961 REVERSE"
Solyc01g108600,1040,AT3G19170,ATPREP1,"ATPREP1, ATZNMP | ATPREP1 (PRESEQUENCE PROTEASE 1); metalloendopeptidase | chr3:6625578-6631874 REVERSE"
Solyc01g091230,1040,AT2G45340,NA,"leucine-rich repeat transmembrane protein kinase, putative | chr2:18691739-18694466 FORWARD"
Solyc09g010930,1040,AT2G37660,NA,binding / catalytic/ coenzyme binding | chr2:15795481-15796977 REVERSE
Solyc09g010840,1039,AT2G37630,AS1,"ATPHAN, AS1, ATMYB91, MYB91 | AS1 (ASYMMETRIC LEAVES 1); DNA binding / protein homodimerization/ transcription factor | chr2:15781798-15782901 REVERSE"
Solyc08g075950,1039,AT3G13960,NA,AtGRF5 | AtGRF5 (GROWTH-REGULATING FACTOR 5); transcription activator | chr3:4608526-4610160 FORWARD
Solyc06g005150,1039,AT1G07890,APX1,"APX1, CS1 | APX1 (ascorbate peroxidase 1); L-ascorbate peroxidase | chr1:2438005-2439435 FORWARD"
Solyc01g097810,1039,AT3G04870,PDE181,"ZDS, PDE181 | ZDS (ZETA-CAROTENE DESATURASE); carotene 7,8-desaturase | chr3:1342842-1346189 FORWARD"
Solyc02g082260,1039,AT1G76490,HMG1,"HMG1, HMGR1 | HMG1 (HYDROXY METHYLGLUTARYL COA REDUCTASE 1); hydroxymethylglutaryl-CoA reductase | chr1:28695801-28698206 FORWARD"
Solyc03g093240,1039,AT3G47450,ATNOA1,"ATNOS1, NOS1, ATNOA1, NOA1, RIF1 | NOA1 (NO ASSOCIATED 1); GTPase/ nitric-oxide synthase | chr3:17483195-17486249 REVERSE"
Solyc12g056510,1039,AT1G76890,NA,"GT2, AT-GT2 | GT2; transcription factor | chr1:28873211-28875203 REVERSE"
Solyc02g070800,1039,NA,NA,No significant hit found
